area
청운효자동
사직동
삼청동
부암동
평창동
무악동
교남동
가회동
종로1.2.3.4가동
종로5.6가동
이화동
혜화동
창신제1동
창신제2동
창신제3동
숭인제1동
숭인제2동
소공동
회현동
명동
필동
장충동
광희동
을지로동
신당동
다산동
약수동
청구동
신당제5동
동화동
황학동
중림동
후암동
용산2가동
남영동
청파동
원효로제1동
원효로제2동
효창동
용문동
한강로동
이촌제1동
이촌제2동
이태원제1동
이태원제2동
한남동
서빙고동
보광동
왕십리제2동
왕십리도선동
마장동
사근동
행당제1동
행당제2동
응봉동
금호1가동
금호2.3가동
금호4가동
옥수동
성수1가제1동
성수1가제2동
성수2가제1동
성수2가제3동
송정동
용답동
화양동
군자동
중곡제1동
중곡제2동
중곡제3동
중곡제4동
능동
광장동
자양제1동
자양제2동
자양제3동
자양제4동
구의제1동
구의제2동
구의제3동
용신동
제기동
전농제1동
전농제2동
답십리제1동
답십리제2동
장안제1동
장안제2동
청량리동
회기동
휘경제1동
휘경제2동
이문제1동
이문제2동
면목제2동
면목제4동
면목제5동
면목본동
면목제7동
면목제3.8동
상봉제1동
상봉제2동
중화제1동
중화제2동
묵제1동
묵제2동
망우본동
망우제3동
신내1동
신내2동
성북동
삼선동
동선동
돈암제1동
돈암제2동
안암동
보문동
정릉제1동
정릉제2동
정릉제3동
정릉제4동
길음제1동
길음제2동
종암동
월곡제1동
월곡제2동
장위제1동
장위제2동
장위제3동
석관동
삼양동
미아동
송중동
송천동
삼각산동
번1동
번2동
번3동
수유1동
수유2동
수유3동
우이동
인수동
창제1동
창제2동
창제3동
창제4동
창제5동
도봉제1동
도봉제2동
쌍문제1동
쌍문제2동
쌍문제3동
쌍문제4동
방학제1동
방학제2동
방학제3동
월계1동
월계2동
월계3동
공릉1동
공릉2동
하계1동
하계2동
중계본동
중계1동
중계4동
중계2.3동
상계1동
상계2동
상계3.4동
상계5동
상계6.7동
상계8동
상계9동
상계10동
녹번동
불광제1동
불광제2동
갈현제1동
갈현제2동
구산동
대조동
응암제1동
응암제2동
응암제3동
역촌동
신사제1동
신사제2동
증산동
수색동
진관동
천연동
북아현동
충현동
신촌동
연희동
홍제제1동
홍제제3동
홍제제2동
홍은제1동
홍은제2동
남가좌제1동
남가좌제2동
북가좌제1동
북가좌제2동
아현동
공덕동
도화동
용강동
대흥동
염리동
신수동
서강동
서교동
합정동
망원제1동
망원제2동
연남동
성산제1동
성산제2동
상암동
목1동
목2동
목3동
목4동
목5동
신월1동
신월2동
신월3동
신월4동
신월5동
신월6동
신월7동
신정1동
신정2동
신정3동
신정4동
신정6동
신정7동
염창동
등촌제1동
등촌제2동
등촌제3동
화곡제1동
화곡제2동
화곡제3동
화곡제4동
화곡본동
화곡제6동
화곡제8동
가양제1동
가양제2동
가양제3동
발산제1동
우장산동
공항동
방화제1동
방화제2동
방화제3동
신도림동
구로제1동
구로제2동
구로제3동
구로제4동
구로제5동
가리봉동
고척제1동
고척제2동
개봉제1동
개봉제2동
개봉제3동
오류제1동
오류제2동
수궁동
항동
가산동
독산제1동
독산제2동
독산제3동
독산제4동
시흥제1동
시흥제2동
시흥제3동
시흥제4동
시흥제5동
영등포본동
영등포동
여의동
당산제1동
당산제2동
도림동
문래동
양평제1동
양평제2동
신길제1동
신길제3동
신길제4동
신길제5동
신길제6동
신길제7동
대림제1동
대림제2동
대림제3동
노량진제1동
노량진제2동
상도제1동
상도제2동
상도제3동
상도제4동
흑석동
사당제1동
사당제2동
사당제3동
사당제4동
사당제5동
대방동
신대방제1동
신대방제2동
보라매동
청림동
성현동
행운동
낙성대동
청룡동
은천동
중앙동
인헌동
남현동
서원동
신원동
서림동
신사동
신림동
난향동
조원동
대학동
삼성동
미성동
난곡동
서초1동
서초2동
서초3동
서초4동
잠원동
반포본동
반포1동
반포2동
반포3동
반포4동
방배본동
방배1동
방배2동
방배3동
방배4동
양재1동
양재2동
내곡동
신사동
논현1동
논현2동
압구정동
청담동
삼성1동
삼성2동
대치1동
대치2동
대치4동
역삼1동
역삼2동
도곡1동
도곡2동
개포1동
개포2동
개포4동
세곡동
일원본동
일원1동
일원2동
수서동
풍납1동
풍납2동
거여1동
거여2동
마천1동
마천2동
방이1동
방이2동
오륜동
오금동
송파1동
송파2동
석촌동
삼전동
가락본동
가락1동
가락2동
문정1동
문정2동
장지동
위례동
잠실본동
잠실2동
잠실3동
잠실4동
잠실6동
잠실7동
강일동
상일동
명일제1동
명일제2동
고덕제1동
고덕제2동
암사제1동
암사제2동
암사제3동
천호제1동
천호제2동
천호제3동
성내제1동
성내제2동
성내제3동
길동
둔촌제1동
둔촌제2동
중앙동
동광동
대청동
보수동
부평동
광복동
남포동
영주제1동
영주제2동
동대신제1동
동대신제2동
동대신제3동
서대신제1동
서대신제3동
서대신제4동
부민동
아미동
초장동
충무동
남부민제1동
남부민제2동
암남동
초량제1동
초량제2동
초량제3동
초량제6동
수정제1동
수정제2동
수정제4동
수정제5동
좌천동
범일제1동
범일제2동
범일제5동
남항동
영선제1동
영선제2동
신선동
봉래제1동
봉래제2동
청학제1동
청학제2동
동삼제1동
동삼제2동
동삼제3동
부전제1동
부전제2동
연지동
초읍동
양정제1동
양정제2동
전포제1동
전포제2동
부암제1동
부암제3동
당감제1동
당감제2동
당감제4동
가야제1동
가야제2동
개금제1동
개금제2동
개금제3동
범천제1동
범천제2동
수민동
복산동
명륜동
온천제1동
온천제2동
온천제3동
사직제1동
사직제2동
사직제3동
안락제1동
안락제2동
명장제1동
명장제2동
대연제1동
대연제3동
대연제4동
대연제5동
대연제6동
용호제1동
용호제2동
용호제3동
용호제4동
용당동
감만제1동
감만제2동
우암동
문현제1동
문현제2동
문현제3동
문현제4동
구포제1동
구포제2동
구포제3동
금곡동
화명제1동
화명제2동
화명제3동
덕천제1동
덕천제2동
덕천제3동
만덕제1동
만덕제2동
만덕제3동
우제1동
우제2동
우제3동
중제1동
중제2동
좌제1동
좌제2동
좌제3동
좌제4동
송정동
반여제1동
반여제2동
반여제3동
반여제4동
반송제1동
반송제2동
재송제1동
재송제2동
괴정제1동
괴정제2동
괴정제3동
괴정제4동
당리동
하단제1동
하단제2동
신평제1동
신평제2동
장림제1동
장림제2동
다대제1동
다대제2동
구평동
감천제1동
감천제2동
서제1동
서제2동
서제3동
금사회동동
부곡제1동
부곡제2동
부곡제3동
부곡제4동
장전제1동
장전제2동
선두구동
청룡노포동
남산동
구서제1동
구서제2동
금성동
대저1동
대저2동
강동동
명지1동
명지2동
가락동
녹산동
가덕도동
거제제1동
거제제2동
거제제3동
거제제4동
연산제1동
연산제2동
연산제3동
연산제4동
연산제5동
연산제6동
연산제8동
연산제9동
남천제1동
남천제2동
수영동
망미제1동
망미제2동
광안제1동
광안제2동
광안제3동
광안제4동
민락동
삼락동
모라제1동
모라제3동
덕포제1동
덕포제2동
괘법동
감전동
주례제1동
주례제2동
주례제3동
학장동
엄궁동
기장읍
장안읍
정관읍
일광면
철마면
동인동
삼덕동
성내1동
성내2동
성내3동
대신동
남산1동
남산2동
남산3동
남산4동
대봉1동
대봉2동
신암1동
신암2동
신암3동
신암4동
신암5동
신천1.2동
신천3동
신천4동
효목1동
효목2동
도평동
불로.봉무동
지저동
동촌동
방촌동
해안동
안심1동
안심2동
안심3동
안심4동
혁신동
공산동
내당1동
내당2.3동
내당4동
비산1동
비산2.3동
비산4동
비산5동
비산6동
비산7동
